"gene","component_1","component_2","component_3","component_4","component_5","component_6","component_7","component_8","component_9"
"POLR2L",0.0990205976162652,0.0427949592314371,0.141072380206394,-0.0116501499179533,-0.244783043655743,0.194684017449661,0.210195470784281,-0.0501489935467328,-0.0627472569057161
"LDHA",0.219887314512531,0.355005805711458,0.433423769409768,0.00465111208402353,-0.127855690331861,-0.185936016167253,0.0534143852503232,0.236335623992926,0.0996626972162487
"TAT",-0.124799317734539,0.132446999150852,-0.166437680826194,-0.056449754495572,-0.0726745510083386,0.0475756381844729,-0.123815690209945,-0.264711244478261,-0.225381948007859
"GNG5",0.188512532267415,0.131299541262952,0.273810784301714,0.241407661046641,0.212420571456705,-0.0908699169109721,-0.17129606767155,-0.282198035710423,0.0920918876290589
"UGP2",-0.109491742947832,-0.0441016165765892,-0.298103579316463,-0.160677054490808,-0.102166157642355,0.0640468920076725,0.133428426683568,0.0624733927259836,0.00237291771503138
"IGFBP3",0.113978311904239,0.0911983547706001,0.167756601878632,0.0500335562176744,0.0435519606602757,-0.0943082049039347,-0.0148400802388801,0.102011274567194,0.0357873902250571
"FTH1",0.121805364645573,0.00832723797922518,-0.155465027642899,-0.098068733486066,-0.192823097115507,-0.0975548616731948,-0.0530841970700767,-0.0177290855607405,-0.229787415026785
"OAZ1",0.107201571612653,-0.198380262363421,-0.0368148925886316,0.250906624509946,0.363054210961582,0.358332310374916,0.110421503298842,0.0617482526121268,0.19541387649214
"ECHS1",-0.118811935846217,0.0364093886358905,0.0815359198237363,0.215238454797864,0.0200111068101763,-0.0850101478394337,-0.316815344266816,-0.322110968310921,-0.384116926792428
"TUBA1B",0.149475003831787,0.0653468745456019,-0.180033593069771,-0.229580985445818,-0.210482117955828,-0.547136653683143,-0.369293933464747,-0.47006469228481,-0.565993136499412
"S100A10",0.143825539389207,0.0172419796241913,0.0270113785181682,0.218493147457453,0.309460454750869,0.30177664050514,0.205075599528261,0.148642802706839,0.0933286075369542
"GC",-0.103468402689211,-0.069112692416386,-0.29614299096148,-0.1496185484858,-0.257100606345881,-0.238157813696511,-0.087887685685693,-0.0192348341193132,0.0989947179688976
"NDUFA4L2",0.097453575391344,-0.115332226129233,-0.204538984860602,-0.21442289093628,-0.226722055421773,-0.0168030146170433,0.176111021077142,0.1924268874559,-0.0253237811715296
"KNG1",-0.0965101708217836,0.158659508455064,0.0194774113286809,0.442809540423775,0.426946702650083,0.237264938865141,0.318181242010348,-0.0512407960278018,-0.145392967272163
