"metaprogram","rank","gene","normalized_weight"
"MP5",3,"NR2F6",0.0150703627181782
"MP5",4,"ONECUT2",0.0147909811431966
"MP5",5,"MLXIPL",0.0146949249764818
"MP5",6,"GPAM",0.0138028126346834
"MP5",7,"ZNF281",0.0122944047017977
"MP5",8,"ERBB3",0.0121694355584449
"MP5",9,"TP53INP1",0.012062183073282
"MP5",10,"IL6R",0.0116727210074278
"MP5",11,"DSP",0.0115963069896033
"MP5",12,"FASN",0.0112616521372943
"MP5",13,"ABCC3",0.011210060911392
"MP5",14,"PLEC",0.0110664076108618
"MP5",15,"PHF20L1",0.0109815352377767
"MP5",16,"ATP2A2",0.0109721887881213
"MP5",17,"CPEB4",0.0107379991738586
"MP5",18,"VEGFA",0.010446676288036
"MP5",19,"SPTBN1",0.010284847523871
"MP5",20,"PCSK6",0.0100412561391426
"MP5",21,"KLF6",0.0100390950909698
"MP5",22,"RXRA",0.00980660498237517
"MP5",23,"DST",0.00975204434869535
"MP5",24,"ANKRD11",0.00968019438592942
"MP5",25,"RNF213",0.00959944528700735
"MP5",26,"IRS2",0.00958973348867469
"MP5",27,"LDLR",0.00948578822531899
"MP5",28,"ZRANB1",0.00940795760333662
"MP5",29,"PTPRF",0.00916214112799235
"MP5",30,"NRIP1",0.00905639832487058
"MP5",31,"NEAT1",0.00890010692521023
"MP5",32,"PQLC1",0.00885654630291639
"MP5",33,"HES1",0.00880721032949954
"MP5",34,"DHCR24",0.00866601183335085
"MP5",35,"MTMR4",0.00865250451745852
"MP5",36,"C3",0.00847134075594242
"MP5",37,"DMD",0.00845835804867072
"MP5",38,"F5",0.0083809192476372
"MP5",39,"CLUH",0.00823673652025194
"MP5",40,"FN1",0.00818274517142145
"MP5",41,"ZBTB10",0.00817753235799645
"MP5",42,"SLC38A2",0.00811241718269873
"MP5",43,"FLNB",0.00809992977002411
"MP5",44,"JUND",0.00792059460348968
"MP5",45,"LINC00685",0.00788367185622409
"MP5",46,"VARS",0.00781939638158015
"MP5",47,"TGFBR2",0.00777521338126029
"MP5",48,"NPLOC4",0.00762576550996252
"MP5",49,"KLF9",0.00758271503101825
"MP5",50,"RP11-553L6.5",0.00757282447754935
"MP5",51,"TEAD1",0.00747754629641586
"MP5",52,"PROX1",0.0074753835835833
"MP5",53,"SORL1",0.00745832060055563
"MP5",54,"DSG2",0.00741152117590067
"MP5",55,"PPARA",0.00736450510330689
"MP5",56,"RRBP1",0.0073329039156405
"MP5",57,"BPTF",0.00720115779345318
"MP5",58,"RORA",0.00717154565137715
"MP5",59,"TMEM245",0.00712756782944261
"MP5",60,"LRRC58",0.00703462641802725
"MP5",61,"ABCB4",0.0069754158163573
"MP5",62,"TNRC6B",0.00691927100039008
"MP5",63,"A2M",0.00685314641164059
"MP5",64,"ZFHX3",0.0068497865979631
"MP5",65,"KCTD20",0.00684569968353648
"MP5",66,"APOB",0.00683608084460284
"MP5",67,"PPARGC1A",0.00677310139032368
"MP5",68,"MGAT4B",0.00670811807541814
"MP5",69,"CEBPA",0.00668904248496685
"MP5",70,"SMAD5",0.00668097832341957
"MP5",71,"H6PD",0.0066808032406501
"MP5",72,"LPP",0.00657126894804879
"MP5",73,"MT-ND4L",0.00649217516843465
"MP5",74,"SETD5",0.00648485116310777
"MP5",75,"LEPR",0.00647635270714924
"MP5",76,"AHNAK",0.0064342498746308
